my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
4,0,True
5,0,True
5,1,True
6,1,True
6,2,True
6,3,True
6,4,True
7,4,True
7,5,True
8,5,True
8,6,True
9,6,True
9,7,True
9,8,True
10,8,True
10,9,True
11,9,True
12,9,True
13,9,True
14,9,True
14,10,True
14,11,True
15,11,True
15,12,True
16,12,True
17,12,True
17,13,True
17,14,True
17,15,True
18,15,True
19,15,True
19,16,True
20,16,True
20,17,True
21,17,True
21,18,True
21,19,True
22,19,True
22,20,True
22,21,True
23,21,True
23,22,True
23,23,True
24,23,True
25,23,True
