my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
4,3,True
4,4,True
5,4,True
6,4,True
6,5,True
6,6,True
7,6,True
7,7,True
8,7,True
9,7,True
9,8,True
9,9,True
10,9,True
10,10,True
10,11,True
10,12,True
11,12,True
12,12,True
12,13,True
13,13,True
14,13,True
14,14,True
14,15,True
14,16,True
15,16,True
16,16,True
16,17,True
16,18,True
16,19,True
17,19,True
18,19,True
18,20,True
18,21,True
18,22,True
19,22,True
19,23,True
20,23,True
21,23,True
22,23,True
23,23,True
23,24,True
24,24,True
24,25,True
25,25,True
26,25,True
27,25,True
