my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
3,1,True
4,1,True
5,1,True
5,2,True
6,2,True
6,3,True
7,3,True
8,3,True
8,4,True
8,5,True
8,6,True
9,6,True
10,6,True
10,7,True
11,7,True
11,8,True
12,8,True
13,8,True
13,9,True
13,10,True
14,10,True
15,10,True
16,10,True
16,11,True
17,11,True
17,12,True
18,12,True
18,13,True
18,14,True
19,14,True
19,15,True
20,15,True
20,16,True
20,17,True
21,17,True
21,18,True
22,18,True
22,19,True
23,19,True
23,20,True
24,20,True
24,21,True
25,21,True
