my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
2,2,True
2,3,True
3,3,True
3,4,True
3,5,True
4,5,True
4,6,True
5,6,True
6,6,True
6,7,True
7,7,True
7,8,True
8,8,True
9,8,True
10,8,True
11,8,True
11,9,True
12,9,True
13,9,True
13,10,True
13,11,True
14,11,True
15,11,True
16,11,True
16,12,True
16,13,True
16,14,True
16,15,True
16,16,True
16,17,True
17,17,True
18,17,True
18,18,True
18,19,True
19,19,True
19,20,True
20,20,True
20,21,True
21,21,True
22,21,True
22,22,True
23,22,True
23,23,True
24,23,True
25,23,True
