my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
0,3,True
0,4,True
1,4,True
1,5,True
1,6,True
2,6,True
3,6,True
3,7,True
4,7,True
4,8,True
5,8,True
5,9,True
6,9,True
6,10,True
7,10,True
8,10,True
9,10,True
9,11,True
10,11,True
10,12,True
11,12,True
11,13,True
12,13,True
13,13,True
13,14,True
14,14,True
15,14,True
15,15,True
16,15,True
16,16,True
16,17,True
17,17,True
18,17,True
19,17,True
19,18,True
20,18,True
20,19,True
20,20,True
21,20,True
22,20,True
23,20,True
24,20,True
24,21,True
25,21,True
