my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
2,2,True
2,3,True
2,4,True
2,5,True
2,6,True
3,6,True
3,7,True
4,7,True
5,7,True
6,7,True
7,7,True
7,8,True
8,8,True
8,9,True
9,9,True
9,10,True
9,11,True
10,11,True
11,11,True
11,12,True
11,13,True
12,13,True
13,13,True
14,13,True
15,13,True
15,14,True
16,14,True
17,14,True
17,15,True
17,16,True
18,16,True
19,16,True
19,17,True
20,17,True
20,18,True
21,18,True
21,19,True
21,20,True
21,21,True
21,22,True
22,22,True
22,23,True
23,23,True
24,23,True
24,24,True
24,25,True
25,25,True
25,26,True
26,26,True
27,26,True
28,26,True
