my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
4,1,True
5,1,True
5,2,True
6,2,True
6,3,True
6,4,True
6,5,True
7,5,True
8,5,True
9,5,True
10,5,True
11,5,True
12,5,True
12,6,True
12,7,True
12,8,True
13,8,True
13,9,True
14,9,True
14,10,True
14,11,True
15,11,True
15,12,True
15,13,True
16,13,True
16,14,True
16,15,True
17,15,True
17,16,True
18,16,True
18,17,True
19,17,True
19,18,True
20,18,True
20,19,True
21,19,True
22,19,True
22,20,True
22,21,True
23,21,True
23,22,True
23,23,True
24,23,True
24,24,True
25,24,True
25,25,True
26,25,True
27,25,True
