my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
3,2,True
4,2,True
5,2,True
5,3,True
5,4,True
6,4,True
6,5,True
7,5,True
8,5,True
9,5,True
9,6,True
10,6,True
10,7,True
10,8,True
10,9,True
11,9,True
11,10,True
12,10,True
12,11,True
12,12,True
13,12,True
13,13,True
13,14,True
14,14,True
14,15,True
15,15,True
15,16,True
15,17,True
15,18,True
16,18,True
17,18,True
17,19,True
17,20,True
18,20,True
19,20,True
20,20,True
21,20,True
22,20,True
22,21,True
23,21,True
24,21,True
25,21,True
