my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
0,3,True
0,4,True
0,5,True
0,6,True
0,7,True
1,7,True
2,7,True
2,8,True
3,8,True
3,9,True
3,10,True
4,10,True
5,10,True
5,11,True
6,11,True
6,12,True
7,12,True
8,12,True
9,12,True
9,13,True
10,13,True
10,14,True
11,14,True
12,14,True
12,15,True
13,15,True
13,16,True
13,17,True
14,17,True
15,17,True
16,17,True
17,17,True
17,18,True
18,18,True
18,19,True
19,19,True
19,20,True
19,21,True
20,21,True
21,21,True
21,22,True
22,22,True
23,22,True
24,22,True
25,22,True
